,loc,rmk,notam_text,ntm_no
50,HGT:GND/UNL,,,
51,(UPTO 24.12.20 1130) 08-10 AND 22-24 0130-1130INDIAN COAST GUARD WILL CARRY OUT FRNG PRACTICE WI THE AREA BOUNDED BY,,,
52,I. COORD: 1259N 08046E 1259N 08126E1249N 08126E 1249N 08046E,,,
53,VOMF INF,A2788/20,,
54,II. RDL: 092-103DEGIII. DIST: 35-65NM FM MMV,,,
55,HGT: SFC/4000FT AMSL,,,
56,(UPTO 30.04.21) BTN 0100-0300 AND 1130-1330 HOT AIR BALLOON FLT WILL OPR IN ASSOLDA VILLAGE PANCHAYAT GND AS PER THE,,,
57,VOMF INF FLW DETAILS: LOCATION :151541.13N740422.00E (R116 GGO 16NM) AREA OF OPERATION :08KM RADIUS HGT OF OPERATION :2500FT,A2761/20,,
58,HGT:GND/2500FT AGL,,,
59,(UPTO 15.02.21) DLY 2300-0100 AND 1100-1300 RDO SONDE HYDROGEN FILLED BALLOON WILL BE LAUNCHED FM GARUDA NAVAL AIR,,,
60,STN FOR MET OBS.DETAILS ARE AS FLW: 1.LAUNCH SITE COORD: 095653.66N 0761626.47E 2.WT - 300GRAMS 3.COLOUR - WHITE,,,
61,VOMF INF,A2759/20,,
62,4.RATE OF ASCENT- 800-1000FT PER MIN 5.MAX VER LIMIT-60000-80000FT 6.SITE OF IMPACT- 50-70KM TOWARDS WEST FM LAUNCH,,,
63,STN. 7.MAX LIFE SPAN OF BALLOON- NEARLY 02HR 8.OPR FREQ- 400-405MHZ HGT:GND/UNL,,,
64,VOMF WRNG (UPTO 31.05.21 EST) DLY 0030-1430 VOD-188 CHENGALPATTU FRNG RANGE ACT HGT:GND/5000FT AGL,A2738/20,,
65,(UPTO 31.12.20) 0330-0530 0630-0830 1400-1600 EXC SUN AIR EXER BY INDIAN AIRFORCE ACFT WITH THE FLW DETAILS:,,,
66,1. BASE OF OPS : THANJAVUR (VOTJ),,,
67,2. A)EXER AREA 'SOUTH' BOUNDED BY COORD: 103733N 0790616E 102837N 0793030E 101111N 0791935E 102853N 0790046E VERTICAL,,,
68,VOMF INF LIMITS : GND TO FL140,A2733/20,,
69,B)EXER AREA 'BRAVO' BOUNDED BY COORD: 101000N 0802700E 101000N 0814800E 111000N 0814800E 111000N 0802700E 101000N,,,
70,0802700E VERTICAL LIMITS : GND TO FL260 3.NO RESTRICTION FOR FLT PLANNING OR OPERATION OF CIVIL SKED FLT,,,
71,HGT:GND/FL260,,,
72,(UPTO 26.12.20) 0030-1130 AERIAL SURVEY USING DRONE WILL TAKE PLACE AROUND 14NM BOUNDED BY COORD 113850N0924359E,,,
73,VOMF INF,A2967/20,,
74,HGT:SFC/1500FT AMSL,,,
75,(UPTO 29.12.20) NOV 03 10 17 24 0900-1200 AND 1230-1430 NOV 06 13 20 27 0900-1200 DEC 04 11 18 25 0900-1200 DEC 01 08 15 22 29,,,
76,VOMF INF,A2622/20,,
77,0900-1200 AND 1230-1430 VOD172 (COCHIN) DRONACHARYA FRNG RANGE ACT HGT: SFC/35000FT AGL,,,
78,(UPTO 31.05.20) 0030-0630 AND 0830-1330 PARAGLIDING (PARAMOTOR) ACT WILL TAKE PLACE WI THE RADIUS OF 02 KM FM POINT A,,,
79,VOMF INF,A2599/20,,
80,152000N741300E POINT B 145700N740300E AND POINT C 145800N741500E HGT:GND/850FT AGL,,,
81,(UPTO 31.05.20) 0030-0630 AND 0830-1330 PARAGLIDING(PARAMOTOR) ACT WILL TAKE PLACE AT UTORDA BEACH GOA WI THE RADIUS,,,
82,VOMF INF,A2598/20,,
83,OF 02KM AT COORD 151900N735400E HGT:GND/500FT AGL,,,
84,(UPTO 20.01.21 1030 EST) REF E-AIP INDIA ENR-2 AIR TRAFFIC SERVICES AIRSPACE ENR 2.1 FLIGHT INFORMATION REGION (FIR),,,
85,TERMINAL AREA (TMA) 1. CHENNAI OCEANIC CONTROL AREA LOWER AND CHENNAI OCEANIC CONTROL AREA UPPER ARE REALIGNED,,,
86,AS OCH(OCEANIC) AND UPB (UPPER PORT BLAIR) .2.OCH BOUNDED BY COORD: 123935N0833323E 160538N0843552E,,,
87,163721N0845647E 154200N0855400E 085553N0922347E 081234N0942509E 060000N0942500E 060000N0920000E 100000N0820000E,,,
88,VOMF INF,A2498/20,,
89,100006N0814654E AND THEN ALONG 200 NM ANTICLOCKWISE ARC CENTRED AT 125936N0801015E THEN 123935N0833323E EXCLUDING,,,
90,THE CONTROLLED AIRSPACE OF CAMPBELL BAY AND CAR NICOBAR. FREQ-126.15 MHZ. 3. UPB BOUNDED BY COORD:,,,
91,154200N0855400E 140000N0920000E 133000N0942500E 081234N0942509E 085553N0922347E 154200N0855400E EXCLUDING THE,,,
92,CONTROLLED AIRSPACE OF CAMPBELL BAY AND PORT BLAIR. FREQ-132.95 MHZ. HGT:SFC/UNL,,,
93,(UPTO 28.01.21) 0001-0300 AND 1130-1430 RDO SONDE MET UNMANNED FREE HYDROGEN BALLOON WILL BE RELEASED FM INS,,,
94,PARUNDU NAVAL AIR STN. ARP COORD 091915.8N 0785823.6E FOR MET OBS AS PER THE FLW DETAILS: 1. LAUNCH SITE: 0919N 07858E,,,
95,VOMF INF 2. BALLOON FLT ID/NDB: 400-406MHZ 3. BALLOON CLASSIFICATION AND DESCRIPTION: LGT WT CAT WT 350GRAMS. 4. COLOUR OF,A2265/20,,
96,BALLOON: WHITE 5. DIAMETER OF BALLOON: 1.5M HYDROGEN FILLED 6. RATE OF ASCENT: 300M/MIN 7. MAX VERTICAL EXTENSION:,,,
97,UPTO 40KM 8. EET TO PASS 18KM WITH LOCAL EST: 01HR 9. DUR IN THE AIR: 180MIN AFT LAUNCH HGT: GND/40000M AGL,,,
98,(UPTO 31.05.21) 0130-1230 PARAGLIDING (PARAMOTOR) ACT WILL TAKE PLACE AT ANJUNA (GOA) WI THE RADIUS OF 02KM AT COORD,,,
99,VOMF INF,A2007/20,,
100,153446.10N 0734430.45E HGT:SFC/500FT AGL,,,
101,VOMF INF (PERM) REF EAIP INDIA SECTION ENR 5.2.1. LOWER LIMIT OF TSA801(B) THANJAVUR INSERTED AS MSL. AMEND ACCORDINGLY.,G1280/20,,
102,,,(FROM 31.12.20 0000 UPTO 13.01.21 2359) TRIGGER NOTAM - AIRAC AIP SUPPLEMENT 199/2020. RESTRUCTURING OF RESTRICTED,
103,VOMF,INF,,G0957/20
104,,,AREA VOR 186 (HYDERABAD).,
105,VOMF,INF,(UPTO 17.12.20) TRIGGER NOTAM – AIRAC AIP SUPPLEMENT 171/2020. ESTABLISHMENT OF NANDED CTR.,G0853/20
106,,,(UPTO 31.12.20) 0430-1230 EXC SAT WIP ON THE BASIC STRIP OF RWY 07/25 BTN TWY D AND TWY M WITH THE FLW DETAILS. 100M,
107,VOMM,CTN,,A2621/20
108,,,DIST FM CL OF RWY 07/25 AND 60M DIST FM THE CL OF TWY B.PILOTS EXER CTN.,
109,VOMM,CTN,(UPTO 08.01.21 1825) 180DEG TURNING ON THE RWY IS NOT PERMITTED EXC ON THE EXTREMITIES OF RWY AT CHENNAI AP.,A2372/20
110,,,(UPTO 31.12.20 EST) 0930-1130 EV TUE AND SAT WIP WITH THE FLW DETAILS LCA OF WORK: ON RWY 07/25 EXC INT OF RWY,
111,,,1)RWY07/25 NOT AVBL FOR OPS. 2)JUNCTION OF TWY D AND Q AVBL FOR XNG RWY07/25. 3)JUNCTION OF M AND P AVBL FOR XNG,
112,,,RWY07/25 4)DRG VIP MOV AND ADVERSE WX CONDITIONS WORK WILL NOT BE CARRIED OUT AND RWY07/25 WILL BE AVBL FOR OPS.,
113,VOMM,INF,,A2352/20
114,,,5)WORK WILL BE SUSPENDED WHEN VIS/TREND FORCAST FOR VIS INDICATE BLW MINIMA FOR OPS ON RWY12/30. 6)IN CASE OF,
115,,,EMERG RWY07/25 WILL BE MADE AVBL IN 15MIN PRIOR NOTICE. 7)DRG THIS PERIOD ALL ACFT ADVISED TO CARRY SUFFICIENT FUEL,
116,,,TO AVOID DIVERSIONS.,
117,VOMM,CTN,(UPTO 01.12.20 0500 EST) ILS LLZ RWY25 RESTRICTED TO 300FT HGT DUE SHARP BEND IN STRUCTURE BTN ILS POINT B AND POINT C,A2318/20
118,VOMM,CTN,(UPTO 31.12.20 1230 EST) BIRD ACT IN AND AROUND AIRFIELD.PILOTS TO EXER CTN WHILE LDG AND TKOF,A2253/20
119,,,(UPTO 29.12.20 EST) 0830-0930 EV TUE AND SAT RUBBER DEPOSIT REMOVAL WORK ON RWY07/25 WITH THE FLW DETAILS: LCA OF,
120,,,WORK: 765M FROM THE BEGINNING OF RWY25 INCLUDING INT RWY07/25 AND RWY 12/30 RESTRICTIONS: 1. DRG THE WORK PERIOD,
121,,,NO ARR/DEP ON RWY07 IS PERMITTED. 2. RWY25 AVBL ONLY FOR DEP FM TWY C INT AND NO ARR IS PERMITTED. 3. DRG WORK,
122,VOMM,INF,PERIOD THE REVISED DECLARED DIST OF RWY25 AS FLW: RWY TORA TODA ASDA LDA 25 2658M 2863M 2718M ---- 4. IN CASE OF,A1859/20
123,,,RQMNTS/EMERG FULL LEN OF RWY 07/25 WILL BE MADE AVBL IN 15MIN FOR CODE E ACFT AND RWY12/30 WILL BE MADE AVBL IN,
124,,,10MIN UPTO CODE C ACFT.5. RWY INT AND TWY J NOT AVBL FOR OPS. 6. RWY12/30 AVBL ONLY FOR TAX AND HELI OPS.7. ACFT,
125,,,PARKED ON STAND NR 01 TO 06 TO PUSHBACK FACING WEST ONLY.8. MARKERS TO DEMARCATE THE WORK AREA AVBL.,
126,,,(UPTO 22.02.21 0900 EST) NEW FAC APAPI FOR RWY 04/22 INSTL ON TRIAL BASIS. MEHT 7.88M. GLIDE ANGLE 3DEG. PILOTS TO REP,
127,VOAT,INF,,C1233/20
128,,,APAPI PER.,
129,VOBL,RWY,(UPTO 30.03.21) EV TUE 0700-0930 RWY09R/27L CLSD DUE MAINT,A2636/20
130,,,(UPTO 31.03.21 1430) DRAIN WIP ON SOUTH SHOULDER OF RWY09R/27L AT DIST OF 120M FM RWY CENTRE LINE. PILOTS TO EXER,
131,VOBL,CTN,,A2632/20
132,,,CTN.,
133,VOBL,INF,(UPTO 31.03.21 1430) TOUCH DOWN LGT AND APCH SIDE ROW LGT NOT AVBL FOR RWY 09R/27L. RWY09R/27L AVBL FOR CAT-I OPS,A2629/20
134,VOBL,INF,(UPTO 31.03.21 1430) RWY09L/27R NOT AVBL WEF 22JUN 2020 DUE REHABILITATION WORK. REF AIP SUP 34/2020 FOR DETAILS,A2626/20
135,VOBL,INF,(UPTO 01.03.21 2359) A380 OPS ON RWY 09R/27L NOT PERMITTED DUE OPR CONSTRAINTS,A2935/20
136,,,(UPTO 31.12.20) 0330-1300 IRRIGATION WIP ON BOTH SIDE OF RWY 09R/27L SHOULDERS AT A DIST OF 80M FM RCL. MEN AND,
137,VOBL,CTN,,A1696/20
138,,,MATERIAL UPTO A HGT OF 4M WILL BE AVBL. PILOTS TO EXER CTN,
139,VOBM,CTN,(UPTO 11.03.21 EST) BIRD ACT IN AND AROUND AIRFIELD. PILOTS TO EXER CTN,C1295/20
140,,,(UPTO 19.01.21 EST) 0330-1230 GRASS CUTTING WIP ON EITHER SIDE OF RWY IN THE BASIC STRIP. PILOTS TO EXER CTN WHILE,
141,VOBZ,CTN,,C1119/20
142,,,LDG/TKOF,
143,VOBZ,RESA,(UPTO 31.12.20 1600) PARTLY PAVED PARTLY GRADED AREA RESA AVBL AS PER DIMENSIONS:RWY08: 240M X 90M RWY26: 150M X 90M,C0746/20
144,,,(UPTO 15.12.20 1230 EST) NEW RAPID EXIT TWY WIP BTN TWY C4 AND C5. 77.5M NORTH OF RWY CL AT 1100M FM THR RWY27 AND,
145,VOCI,RWY,,A2441/20
146,,,43.5M SOUTH OF TWY C CL AT `700M WEST OF TWY C5. PILOTS TO EXER CTN,
147,VOCI,RWY,(UPTO 15.12.20) TUE 0830-1200 RWY 09/27 CLSD DUE MAINT,A2413/20
148,VOCI,INF,(UPTO 03.03.21 1200EST) ALL NON-SKED OPR TO OBTAIN PRIOR PERMISSION FM COCHIN INTL FOR PRKG BAYS,A2939/20
149,VOCL,INF,(UPTO 21.02.21 2359 EST) DUE ACUTE SHORTAGE OF PRKG STANDSNON SKED FLT OPR TO VOCL TO OBTAIN POSITIVE PRIOR CLR,A2814/20
150,VOCL,CTN,(UPTO 19.12.20 0730 EST) GRADING WIP BEYOND 75M FM CL OF THE RWY ON THE SOUTHERN SIDE,A2810/20
151,VOCL,CTN,(UPTO 23.01.21 1230 EST) BIRD ACT IN AND AROUND AIRFIELD.PILOTS EXER CTN WHILE LDG AND TKOF,A2539/20
152,VOCL,INF,(UPTO 29.12.20 EST) EV TUE 0930-1230 RWY10/28 CLSD DUE MAINT WORK,A2310/20
153,,,(UPTO 28.02.21 1230 EST) TRENCH DIGGING WIP FOR THE CONST OF DRAINAGE 165M SOUTH OF RCL.MEN AND MACHINERY UPTO A,
154,VOCP,INF,,C1177/20
155,,,MAX HGT OF 7M PRESENT IN THE WORK AREA,
156,,,(UPTO 31.12.20 1230 EST) RWY EXTENSION WIP BEYOND 150M AND UPTO 485M FM PHYSICAL BEGINNING OF RWY11.PILOTS TO EXER,
157,VOCP,CTN,,C1176/20
158,,,CTN AND LOOK OUT FOR THR MARKINGS RWY11,
159,VOCP,RWY,(UPTO 31.03.21 1230 EST) TEMPO ELEVATED RWY EDGE LGT PROVIDED DUE RWY STRENGTHENING AND RESURFACING WORK,C1160/20
160,,,(UPTO 29.12.20 EST) DLY 0001-0230 0500-0730 AND 1230-2359 RWY EXTENSION AND BLAST EROSION AREA WIP FM 150M AND UPTO,
161,VOCP,INF,356M FM THE PHYSICAL BEGINNING OF RWY29. SALS RWY29 NOT AVBL. MEN AND MACHINERY UPTO A MAX HGT OF 7M PRESENT IN,C0704/20
162,,,THE WORK AREA,
163,VOCP,RWY,(UPTO 31.12.20 1230 EST) SALS RWY 11 NOT AVBL DUE RWY EXTENSION WIP,C0703/20
164,,,(UPTO 31.12.20 1730) DUE TO COVID-19 PANDEMICDOMESTIC NON SKED OPR PERMIT FLIGHTS ARE PERMITTED BTN 0030-0230 AND,
165,VOGO,INF,,A2831/20
166,,,1000-1730 UTC. FLT OPR TO COOR 48HR IN ADVANCE.,
167,,,(UPTO 03.02.21) 0100-0200 1200-1300 EXCESSIVE BIRD ACT OBS AROUND THE AIRFIELD. IN ADDN MOD BIRD ACT OBS BTN,
168,VOGO,CTN,,A2921/20
169,,,0230-03300700-0800 AND 1030-1200 DLY.PILOTS TO EXER CTN WHILE TKOF/LDG,
170,VOHB,INF,(UPTO 22.12.20 0430 EST) PAPI RWY08 INSTL CMPL AND AVBL ON TRIAL BASIS,C1020/20
171,VOHS,RWY,(UPTO14.12.20) NOV 30 2000-2300 DEC 7 14 2000-2200 AD CLSD DUE RWY 09R-27L AND RWY 09L-27R WIP,A2874/20
172,VOHS,RWY,(UPTO 13.02.21) 0300-1230 GRASS CUTTING AND PESTICIDE SPRAYING WIP ON BASIC STRIP OF RWY AND TWY. PILOTS TO EXER CTN,A2753/20
173,,,(UPTO 15.12.20 1630) TWR CRANES AND MOBILE CRAWLER CRANE ERECTED IN INNER HORIZONTAL SFC FOR RAJIV GANDHI,
174,,,INTERNATIONAL AP TERMINAL PIER AND PROCESSOR CONST WORKS. CRANE1-TWR- CRANE3 EAST PROCESSOR CONST AREA,
175,,,COORD 171410.36N782551.45E WITH OPR RADIUS 50M AND MAX WORKING HGT 660M AMSL CRANE2-TWR- CRANE12,
176,VOHS,INF,171412.407N782551.30E WITH OPR RADIUS 50M AND MAX WORKING HGT 652M AMSL CRANE3-MOBILE CRAWLER CRANE2 WEST PIER,A2606/20
177,,,CONST AREA COORD 171408.27N782539.65E WITH OPR RADIUS 50M AND MAX WORKING HGT 664.47M AMSL CRANE4-MOBILE CRAWLER,
178,,,CRANE MC4 EAST PIER CONST AREA COORD 17145.075N78265.686E WITH OPR RADIUS 50M AND MAX WORKING HGT 664.47M AMSL.,
179,,,OBST LGTD AND MARKED .PILOTS TO EXER CTN,
180,VOJV,CTN,(UPTO 28.12.20 1330 EST) BIRD ACT OBS AROUND THE AIRFIELD. PILOTS TO EXER CTN WHILE LDG/TKOF,C1122/20
181,VOMD,INF,(UPTO 03.12.20 1830) ALL ACFT LDG ON RWY09 TO BACKTRACK AT THE END OF RWY,A2045/20
182,,,(UPTO 31.12.20 1130 EST) RWY STRIP OF 150M WIDTH ON EITHER SIDE OF RCL NOT AVBL FOR RWY 09-27 DUE TO NON AVAILABILITY OF,
183,VOMD,RWY,LAND. 75M WIDTH RWY STRIP ON EITHER SIDE OF RCL AVBL AND MAINTAINED. FOR NON COMPLIANCE TEMP EXEMPTION HAS BEEN,A3403/18
184,,,OBTAINED FM DGCA UPTO 31 DEC 2020.,
185,,,(UPTO 31.12.20 1130 EST) TKOF CLIMB SFC FOR RWY 09 AND 27 NOT ESTABLISHED DUE TO NON AVAILABILITY OF LAND. FOR NON,
186,VOMD,RWY,,A3402/18
187,,,COMPLIANCE TEMP EXEMPTION HAS BEEN OBTAINED FM DGCA UPTO 31 DEC 2020.,
188,,,(UPTO 31.12.20 1130 EST) CAT I PRECISION ALS NOT AVBL FOR PRECISION APCH RWY27 DUE TO NON AVAILABILITY OF LAND. SALS,
189,VOMD,LGT,300M WITH ONE CROSS BAR PROVIDED FOR RWY27. FOR NON COMPLIANCE TEMPO EXEMPTION HAS BEEN OBTAINED FM DGCA UPTO,A3400/18
190,,,31 DEC 2020.,
191,,,(PERM) REF EAIP INDIA PAGE NR AD 2 VOMD-6 COORD OF OBSTACLE TYPE POLE WITH ELEVATION 442 FT IN SIXTH ROW ARE,
192,VOMD,INF,,G1180/20
193,,,AMENDED AS 095012.61N 0780609.61E IN PLACE OF 095012.6N 0950031.2E. AMEND ACCORDINGLY.,
194,,,(UPTO 30.09.21 0600 EST) RWY STRIP PROVIDED UPTO A LATERAL DIST OF 75M FM RCL ON EITHER SIDE OF RWY INSTEAD OF,
195,VOMY,RWY,,C1026/20
196,,,RECOMMENDED 140M FM RCL,
197,VOPB,INF,(UPTO 31.12.20 2359) NDB NOT AVBL DUE PWR,C1247/20
198,,,(UPTO 30.01.21 1120 EST) NEW INTL TERMINAL BUILDING CONST WIP. 02 MOBILE CRANES WITH EXTENDED BOOM OPERATED AT A,
199,VOPB,INF,,C0839/20
200,,,HGT OF 60M ON WESTERN SIDE OF RWY AT A DIST OF 250M FM RCL. PILOTS TO EXER CTN,
201,VOSM,RWY,(UPTO 06.02.21 1330 EST) RWY STRIP PROVIDED UPTO A LATERAL DIST OF 75M FM RCL INSTEAD OF MANDATORY 140M FOR CODE 4C,C1185/20
202,VOTK,CLSD,(UPTO 01.01.21) 1230-0030 RWY 10/28 CLSD DUE WIP.IN CASE OF RQMNTS RWY 10/28 WILL BE MADE AVBL IN 4 HR,C0817/20
203,,,(UPTO 31.12.20) 0030-1230 PILOTS TO EXER CTN WHILE LDG/TKOF FOR EXCAVATED AREA FM 30M TO 45M WITH 7.5M SHOULDERS FM,
204,VOTK,CTN,,C0809/20
205,,,RCL DUE WIDENING OF EXISTING RWY. EQPT UPTO A HGT OF 4M PRESENT AT BEYOND 120M FM RCL,
206,,,(UPTO 22.12.20 EST) INSET REDL 3 NR AT TURN PAD AREA AT RWY 26 BEGINNING ON RIGHT SIDE NOT AVBL DUE RWY RECARPETTING,
207,VOTP,CTN,,C1236/20
208,,,WORK. PILOTS TO EXER CTN,
209,,,(UPTO 22.12.20 EST) INSET REDL 4 NR AT TURN PAD AREA AT RWY 08 BEGINNING ON RIGHT SIDE NOT AVBL DUE RWY RECARPETING,
210,VOTP,CTN,,C1235/20
211,,,WORK. PILOTS TO EXER CTN,
212,,,(UPTO 10.02.21 EST) RWY26 EXTN WIP BEYOND 480M FM BEGINNING OF RWY08. PILOTS EXER CTN DRG LDG AND TKOF IN APCH PATH,
213,VOTP,CTN,,C1211/20
214,,,RWY08,
215,,,(UPTO 22.01.21 2359 EST) ONST OF THE FLW LINK TWY CMPL AND NOT COMMISSIONED: ON THE SOUTHERN SIDE OF RWY08/26 AT A,
216,,,DIST OF 530M FM THE BEGINNING OF RWY08 CONNECTING THE ISOL BAY. THE PORTION OF THE EDGE OF THE RWY MERGED WITH,
217,VOTP,CTN,,C1129/20
218,,,NEW LINK TWY DELINEATED BY RED AND WHITE CHECKERED UNSERVICEABILITY FLAGS DRG DAY TIME OBSTRUCTION LIGHTS DRG,
219,,,NGT.PILOTS TO EXER CTN,
220,,,(UPTO 22.01.21 2359 EST) EXCAVATION AND GRADING WIP BEYOND 75M OF RWY08/26 CL FOR PROVISION OF 140M BASIC STRIP ON,
221,VOTP,INF,,C1128/20
222,,,BOTH SIDES OF RCL. DRG ARR AND DEP VEHICLES KEPT BEYOND 140M FM RCL,
223,VOTR,RWY,(UPTO 15.01.21 EST) 0430-1230 RWY 09/27 CLSD DUE RWY RECARPETTING WORK,A2765/20
224,VOTR,CTN,(UPTO 16.02.21 EST) BIRD ACT OBS IN AND AROUND AIRFIELD.PILOTS TO EXER CTN WHILE LDG/TKOF.,A2757/20
225,,,(UPTO 31.12.20 2359 EST) RWY 09/27 LIABLE TO BE SLIPPERY WHEN WET BTN THE PORTION:1. FM 1400-1800M FM THR 09 ON THE LEFT,
226,VOTR,RWY,,A2299/20
227,,,SIDE 2. FM 1400-1800M FM THR 09 ON THE RIGHT SIDE WHERE THE AVERAGE VALUE OF FRICTION IS 0.36 TO 0.40,
228,,,(UPTO 24.12.20 1300 EST) NLY ACFT UPTO CODE C TYP LDG ON RWY14/32 PERMITTED TO MAKE 180DEG TURN ON RWY. NO PIVOTAL,
229,VOTV,INF,,A2229/20
230,,,TURN ALLOWED ON RWY INCLUDING TURN PADS FOR ALL TYP OF ACFT,
231,VOTV,RWY,(UPTO 23.12.20 1030 EST) MON WED THU AND FRI 0830-1030 RWY14/32 CLSD DUE MAINT,A2228/20
