"AIRPORTS AUTHORITY OF INDIA – MUMBAI - 99.PRE-FLIGHT INFORMATION BULLETIN[KOLKATA FIR]","10.12.20THU"
"FOR PERM NOTAMS, PLS REFER PERM NOTAM BULLETIN PUBLISHED ON 01 AND 16 DAY OF EVERY MONTH. THIS BULLETIN CONTAINS:1. INFORMATION EFFECTIVE ON THE DATE MENTIONED ABOVE.2. ADVANCE INFORMATION THAT WILL BECOME EFFECTIVE WITHIN NEXT 24 HOURS.3. NOTAMS ON TAXIWAY AND APRON ARE NOT INCLUDED.4. ANY CHANGES IN PERM NOTAM DURING THE PERIOD BETWEEN 01TO15 AND 16 TO END OF THE MONTH",,,
LOC,RMK,NOTAM TXT,NTM NO.
VEMN,INF,"(UPTO 07.03.21 EST) ALL FIXED WING ACFT TO MAKE 180 DEG TURN ONLY AT THE DESIGNATED RWY DUMBBELLS BY FLW TURN PADMARKING AND AVOID LOCKED WHEEL PIVOTAL TURNS",C2057/20
VEMR,INF,"(UPTO 28.02.21) MON WED FRI SUN 0000-0229 0701-2359, TUE THU SAT 0000-0229 0946-2359 RWY STRENGTHENING AND ASSOCIATEDWIP.1 DAY PN FOR ANY WATCH HR EXTENSION OR EARLY WATCH",C2007/20
VEMR,CTN,"(UPTO 28.02.21) MON WED FRI SUN 0000-0229 0701-2359, TUE THU SAT 0000-0229 0946-2359 EARTH FILLING AND GRADING WIP ONTHE SIDE STRIPS RWY 12/30.PILOT TO EXER CTN",C1988/20
VEMR,CTN,(UPTO 28.02.21 0700 EST) GRASS CUTTING WIP ON SIDE STRIPS OF RWY 12/30.PILOT TO EXER CTN WHILE LDG AND TK OFF,C1980/20
VEMR,INF,"(UPTO 14.02.21 1000 EST) INSET THR LGT AT DISPLACED THR RWY12 NOT AVBL DUE RWY STRENGTHENING WORK.THR WING BARLGT ARE AVBL AT DISPLACED THR RWY12 ON EITHER SIDE. PILOTS TO EXER CTN",C1909/20
VEMR,CTN,(UPTO 14.02.21 1000 EST) NO NON SKED ACFT ARE PERMITTED TO OPR WO PRIOR COOR DUE SHORTAGE OF PRKG STANDS,C1908/20
VEMR,INF,"(UPTO 22.01.21) MON WED FRI SUN 0000-0229 1001-2359, TUE THU SAT 0000-0629 1001-2359 RWY STRENGTHENING AND ASSOCIATEDWIP .1 DAY PN FOR ANY WATCH HR EXTN OR EARLY WATCH.",C1764/20
VEMR,INF,(UPTO 17.12.20 2359EST) NDB WILL BE WITHDRAWN FM OPS TO CARRY OUT TRANS-INSTALLATION AND OTHER ASSOCIATED WORKS,C1572/20
VEPT,INF,"(UPTO 29.01.21 2359 EST) NON SKED FLT ARE PERMITTED TO PATNA ONLY WITH PRIOR CLR OF PATNA ATC DUE SHORTAGE OFPRKG STAND",A1449/20
VEPT,INF,(UPTO 29.01.21 2359 EST) DLA SKED FLT BFR DEP SHOULD TAKE POSITIVE CLR WITH PATNA ATC,A1448/20
VEPT,RWY,(UPTO 29.01.21 2359 EST) RWY STRIP WID 75M AVBL INSTEAD OF 150M ON EITHER SIDE OF THE RWY CL,A1446/20
VEPT,CTN,(UPTO 29.01.21 2359 EST) BIRD ACTIVITIES IN AND AROUND AIRFIELD INCREASED. PILOTS TO EXER CTN WHILE LDG AND TKOF,A1445/20
VEPT,CTN,(UPTO 27.01.21 2359) GRASS CUTTING WIP IN BASIC STRIP. PILOT TO EXER CTN WHILE LDG AND TKOF,A1438/20
VEPY,INF,"(UPTO28.02.21EST)WIPINBASICSTRIPAREAINPORTIONOFWSIDEOFRWY02/20FORRECTIFICATIONOFMINORSFCUNDULATION ON WATCH AND WARD BASIS. ALL PILOTS TO EXER CTN WHILE LDG/TKOF",C2005/20
VEPY,INF,"(UPTO 19.12.20 2359 EST) HILL CUTTING WIP IN WESTERN SIDE OF RWY02/20 FOR WIDENING OF BASIC STRIP PORTION BEYOND 40MFM CL OF RWY AFT WATCH HR",C1588/20
VERB,CLSD,(UPTO 20.12.20 2359) RWY 09/27 CLSD DUE RECARPETING WIP,C2008/20
VERC,INF,(UPTO 15.12.20 1545) RWY13 APCH LGT NOT AVBL DUE RWY RECARPETING WORK,C1913/20
VERC,CTN,(UPTO 26.01.21 2359 EST) CIV DIGGING WIP BEHIND LOC ANTENNA FOR RELOCATION OF LOC.PILOTS TO EXER CTN,C1792/20
VERC,CTN,"(UPTO 16.01.21 2359) RWY 13/31 BASIC STRIP WID 75M ON EITHER SIDE OF RWY CL.PERIMETER WALL ON SOUTHERN SIDE OF RWYCL SITUATED AT A DIST OF 114M FM RWY 31/13 .STORM WATER OPEN DRAIN AVBL ON SOUTHERN SIDE BTN 90M TO 105M FM CL OFRWY AND NORTHERN SIDE BTN TWY C AND TWY D AT A DIST OF 90M FM RWY31/13.PILOT TO EXER CTN",C1736/20
VERC,INF,"(UPTO 22.12.20 2359) ALL NON SKED FLT SHALL TAKE POSITIVE CLR BFR DEP TO VERC AND MUST CARRY THEIR TOW BAR FORPUSHBACK DUE ALL BAYS ARE POWER IN PUSHBACK",C1603/20
VERP,INF,(UPTO 16.02.21) 0105-1615 ALS RWY24 NOT AVBL DUE RWY EXTN WORK,C1923/20
VERP,INF,(UPTO 17.01.21 EST) 0155-1600 CAT C AND ABV ACFT AFT LDG TO BACKTRACK VIA DUMBBELL ONLY,C1715/20
VERP,CTN,(UPTO 17.01.21 EST) 0155-1600 BIRD ACT OBS IN AND AROUND AD. PILOT TO EXER CTN WHILE LDG/TKOF,C1714/20
VERP,CTN,(UPTO 17.01.21 EST) 0155-1600 GRASS CUTTING WIP ON BOTH SIDES OF RWY STRIP. PILOTS TO EXER CTN WHILE LDG/TKOF,C1713/20
VERP,INF,"(UPTO 29.12.20 2359 EST) NEW ATC TOWER BLDG CONST WIP ON LEFT SIDE OF RWY 24. DETAILS ARE AS FLW:DIST FM CL 454.6M , HGT OF ATC TOWER (PROPOSED TOP ELEV) : 358.98M COORD OF NEW ATC TWR LCA 211053.01N 0814413.13E",C1637/20
VERP,CTN,(UPTO 15.12.20 1645 EST) RWY EXTENSION WIP AT BEGINNING OF RWY24. PILOT TO EXER CTN WHILE LDG AND TKOF,C1565/20
